bigger_id,c_users,geo
X387Y541,17272,"POLYGON((16.9422124455344 52.4334763902778, 16.9424218042192 52.4289827940266, 16.949773055705 52.4291105239035, 16.9495644437305 52.433604140755, 16.9422124455344 52.4334763902778))"
X381Y535,5526,"POLYGON((16.9041735541481 52.4597916536137, 16.8968174065591 52.4596610359725, 16.897031583814 52.4551675891664, 16.90438698363 52.4552981857406, 16.9041735541481 52.4597916536137))"
X377Y554,6648,"POLYGON((16.8788515488203 52.3738914649807, 16.8715098010822 52.3737594236466, 16.8717258841529 52.3692659845801, 16.8790668879258 52.3693980046347, 16.8789161565081 52.3725434273034, 16.8788515488203 52.3738914649807))"
X365Y553,17,"POLYGON((16.7834133246251 52.3721393784012, 16.7907543763077 52.3722768886669, 16.7905300518718 52.3767700847053, 16.7831882562725 52.3766325522759, 16.7834133246251 52.3721393784012))"
X371Y559,198659,"POLYGON((16.8287829248292 52.3459976838757, 16.8361198679229 52.3461323295732, 16.8359003545572 52.3506256815785, 16.8336990426902 52.3505853291748, 16.8285626685956 52.3504910141834, 16.8287829248292 52.3459976838757))"
X381Y532,2515,"POLYGON((16.9037465261877 52.4687785772223, 16.9035329276695 52.4732720329575, 16.8961745355796 52.4731413520894, 16.8962174094819 52.4722426654824, 16.8963888824617 52.4686479174341, 16.9037465261877 52.4687785772223))"
X398Y542,462,"POLYGON((17.0234293327043 52.4272170241496, 17.0234896543691 52.4258688768955, 17.030840753414 52.4259915622182, 17.0306404093591 52.4304854047929, 17.0232885635918 52.4303626996831, 17.0234293327043 52.4272170241496))"
X371Y549,388,"POLYGON((16.8338781167562 52.3919643282495, 16.8337020382494 52.3955589768267, 16.8263569128629 52.395424092215, 16.8265777500196 52.3909308028261, 16.8339221305833 52.3910656656964, 16.8338781167562 52.3919643282495))"
X385Y532,911,"POLYGON((16.9256084414609 52.4736613308485, 16.9258197947683 52.4691678123156, 16.9331776627725 52.4692966425631, 16.9329670579081 52.4737901818812, 16.9256084414609 52.4736613308485))"
X384Y561,427,"POLYGON((16.9317151145811 52.3433476561275, 16.9243781784325 52.3432189508198, 16.9245886649576 52.3387253360864, 16.9319248583709 52.3388540206572, 16.9317151145811 52.3433476561275))"
X367Y533,7804,"POLYGON((16.8009687475675 52.4624145648993, 16.8007447329119 52.466907722921, 16.797801992236 52.4668529529289, 16.7933878989867 52.4667706607645, 16.7936126615247 52.4622775248492, 16.8009687475675 52.4624145648993))"
X384Y539,9893,"POLYGON((16.9270867440459 52.4422066164212, 16.9197334182187 52.4420774538411, 16.919945128565 52.4375839279058, 16.9272977073472 52.4377130696566, 16.9270867440459 52.4422066164212))"
X389Y565,31,"POLYGON((16.9692244138193 52.3260093761181, 16.9618901736353 52.325883029048, 16.9620967286909 52.3213892953044, 16.9694302268237 52.3215156220204, 16.9694096479607 52.3219649976107, 16.9692244138193 52.3260093761181))"
X387Y530,2016,"POLYGON((16.9401158181504 52.4784121314398, 16.9474752942722 52.4785400881491, 16.9472660759287 52.4830336607749, 16.9399058509305 52.4829056834193, 16.9401158181504 52.4784121314398))"
X389Y557,5368,"POLYGON((16.9602357742186 52.3618327544695, 16.9604427647793 52.3573390528436, 16.9677822047841 52.3574655425079, 16.9676790881 52.3597124040158, 16.9675759578361 52.3619592645209, 16.9602357742186 52.3618327544695))"
X374Y545,7807,"POLYGON((16.8475174759729 52.4138007544744, 16.8477363091887 52.4093074163989, 16.8550838438398 52.4094409972297, 16.855062037672 52.4098903333744, 16.8548657562917 52.4139343568438, 16.8475174759729 52.4138007544744))"
X391Y524,3796,"POLYGON((16.9754690463399 52.5105028364488, 16.9681041036931 52.5103765675128, 16.9683114034724 52.5058829574422, 16.9756755959803 52.506009206002, 16.9754690463399 52.5105028364488))"
X395Y559,28,"POLYGON((17.0048851127641 52.3491034990206, 17.0122233888287 52.3492272150928, 17.0120217102093 52.3537210658611, 17.0068843910405 52.3536344984878, 17.0046826908096 52.3535973298499, 17.0048851127641 52.3491034990206))"
X371Y539,5520,"POLYGON((16.8243667568 52.435863512546, 16.8317185944142 52.4359985930286, 16.8314979210774 52.4404918632748, 16.8307626600147 52.4404783736061, 16.8241453366786 52.4403567610067, 16.8243667568 52.435863512546))"
X378Y542,14,"POLYGON((16.8762846533274 52.4273633313339, 16.8764790698649 52.4233192607089, 16.8838290710974 52.423451079797, 16.883613796211 52.4279445126572, 16.8762630486417 52.4278126723114, 16.8762846533274 52.4273633313339))"
X369Y545,1025,"POLYGON((16.8107769437681 52.4131258964088, 16.8109995050171 52.4086326671284, 16.8183467493199 52.4087685296372, 16.8181249336367 52.4132617808234, 16.8107769437681 52.4131258964088))"
X390Y562,217,"POLYGON((16.9688126252622 52.3349968722823, 16.9761484043479 52.3351228048404, 16.9759431714124 52.3396165672, 16.9686066496714 52.3394906143487, 16.9687096442448 52.3372437438168, 16.9688126252622 52.3349968722823))"
X370Y544,9992,"POLYGON((16.8252518536043 52.4178904777716, 16.8179030594711 52.4177550279125, 16.8181249336367 52.4132617808234, 16.8254729819876 52.4133972088456, 16.8252739690661 52.4174411510632, 16.8252518536043 52.4178904777716))"
X376Y536,821,"POLYGON((16.867610551545 52.4546406315078, 16.8602554362107 52.4545077492931, 16.8604732945445 52.4500144048549, 16.8670922230365 52.450134000127, 16.8678276624027 52.4501472656388, 16.867610551545 52.4546406315078))"
X400Y546,1022,"POLYGON((17.0389897684164 52.4081383019075, 17.0463379878466 52.4082599951642, 17.0461393469197 52.4127538929609, 17.0387903815158 52.4126321800802, 17.0389897684164 52.4081383019075))"
X392Y557,3201,"POLYGON((16.9824612475267 52.3577171550316, 16.9898008498737 52.3578422778754, 16.9895968338777 52.3623360606096, 16.9851926198062 52.362261029486, 16.9822564878612 52.3622109175987, 16.9824612475267 52.3577171550316))"
X377Y549,6151,"POLYGON((16.877774001892 52.3963587057865, 16.8704285313926 52.3962265579902, 16.8706448993086 52.3917331392536, 16.8779896248642 52.3918652657489, 16.8778602578998 52.3945613302589, 16.877774001892 52.3963587057865))"
X392Y558,6153,"POLYGON((16.9824612475267 52.3577171550316, 16.9825431362947 52.355919648884, 16.9826659532737 52.3532233884618, 16.9900048121464 52.3533484911427, 16.9898008498737 52.3578422778754, 16.9824612475267 52.3577171550316))"
X389Y554,7667,"POLYGON((16.9598216295059 52.3708201456762, 16.9671633009353 52.3709466965141, 16.9669568909445 52.3754404064942, 16.9596144753157 52.3753138352569, 16.9598216295059 52.3708201456762))"
X385Y528,657,"POLYGON((16.9323349096581 52.4872707756601, 16.9321662522176 52.4908655945433, 16.9321240822908 52.4917642988611, 16.9247624700996 52.4916353646454, 16.924974046699 52.4871418622465, 16.9323349096581 52.4872707756601))"
X359Y534,20373,"POLYGON((16.7421217306308 52.4613054440426, 16.735501682372 52.4611788371138, 16.7347661244944 52.4611647468218, 16.7349968084604 52.4566717862597, 16.74235166708 52.4568124607899, 16.7421217306308 52.4613054440426))"
X374Y547,1779,"POLYGON((16.8481738026082 52.4003207280095, 16.8555198465122 52.400454265776, 16.8553018739066 52.4049476335403, 16.847955084727 52.4048140742439, 16.8481738026082 52.4003207280095))"
X362Y534,1450,"POLYGON((16.7568559715858 52.4611361644712, 16.75706156609 52.4570924387132, 16.7644166060869 52.4572317420892, 16.7641889123157 52.4617247929723, 16.7568331247383 52.4615854671265, 16.7568559715858 52.4611361644712))"
X378Y539,12351,"POLYGON((16.8756146430541 52.4412928827433, 16.8758308352563 52.4367994833286, 16.8831830760886 52.4369313662029, 16.8831184484725 52.4382793928346, 16.8829676308127 52.4414247868882, 16.8756146430541 52.4412928827433))"
X383Y536,5149,"POLYGON((16.911955065332 52.4509348322543, 16.9193098299471 52.4510644936003, 16.9191191422947 52.4551086562233, 16.9190979519825 52.455558007424, 16.9117424397518 52.4554283251624, 16.911955065332 52.4509348322543))"
X403Y544,2408,"POLYGON((17.0606402337582 52.4174898818891, 17.0679901019359 52.4176102444642, 17.0677935954417 52.4221041927815, 17.0648533433718 52.4220560947944, 17.0604429808425 52.421983810795, 17.0606402337582 52.4174898818891))"
X370Y543,250,"POLYGON((16.8250306669145 52.4223837426047, 16.8176811268026 52.4222482709043, 16.8178364858143 52.4191030012403, 16.8179030594711 52.4177550279125, 16.8252518536043 52.4178904777716, 16.8250306669145 52.4223837426047))"
X392Y544,3451,"POLYGON((16.979589697 52.4206294667051, 16.979774615536 52.4165851274105, 16.9797951593313 52.4161357561776, 16.9871444446538 52.416261141512, 16.9869397285393 52.4207548722597, 16.979589697 52.4206294667051))"
X398Y564,47385,"POLYGON((17.0350358038995 52.3316199499628, 17.0277003407322 52.3314976792453, 17.0279002692664 52.3270037689277, 17.0286337389772 52.3270160145113, 17.0352349900193 52.3271260199459, 17.0350358038995 52.3316199499628))"
X386Y557,8104,"POLYGON((16.9382155512924 52.3614504903581, 16.9384247725763 52.3569568503332, 16.94576404848 52.3570847067484, 16.9455555707513 52.3615783673803, 16.9382155512924 52.3614504903581))"
X389Y541,24933,"POLYGON((16.9644757235049 52.4293646133746, 16.9642686050089 52.4338582712059, 16.9591221236223 52.4337695334105, 16.9569164969542 52.4337314344003, 16.9571243621991 52.4292377970221, 16.9644757235049 52.4293646133746))"
X369Y532,30,"POLYGON((16.8152360003769 52.4716736733667, 16.8078783002813 52.4715375037712, 16.808012302761 52.4688415986924, 16.8081016259603 52.4670443278194, 16.8154585779351 52.4671804754512, 16.8152360003769 52.4716736733667))"
X378Y557,13443,"POLYGON((16.8794973960156 52.3604110717583, 16.8797125650398 52.3559175992282, 16.8826480901339 52.3559702541842, 16.8870513947438 52.3560490999656, 16.8868369691184 52.3605425936891, 16.8794973960156 52.3604110717583))"
X393Y547,5244,"POLYGON((16.9951053710226 52.4029047936154, 16.9949015624044 52.4073985564954, 16.9912276319709 52.4073361693112, 16.9875537149956 52.4072736680186, 16.9877582692607 52.4027799252731, 16.9951053710226 52.4029047936154))"
X386Y547,23854,"POLYGON((16.9361203041856 52.4063866690858, 16.936330077445 52.4018930693385, 16.9422074492394 52.4019955559811, 16.9436767977047 52.4020211320111, 16.9434677699582 52.4065147524071, 16.9361203041856 52.4063866690858))"
X374Y544,124,"POLYGON((16.8546476112419 52.4184277123827, 16.8472985850593 52.4182940884702, 16.8474955894783 52.4142500880575, 16.8475174759729 52.4138007544744, 16.8548657562917 52.4139343568438, 16.8546476112419 52.4184277123827))"
X372Y540,17185,"POLYGON((16.8318289092592 52.4337519563721, 16.8319392095588 52.4315053186935, 16.8392903587566 52.4316399206921, 16.8390704902205 52.4361332167346, 16.8317185944142 52.4359985930286, 16.8318289092592 52.4337519563721))"
X392Y560,175208,"POLYGON((16.9902087207149 52.3488547004114, 16.9828706051209 52.3487296178896, 16.9830752030872 52.3442358433148, 16.9904125755978 52.3443609056817, 16.9902087207149 52.3488547004114))"
X384Y531,502,"POLYGON((16.918037723086 52.4780255159814, 16.9182498808074 52.473532022345, 16.9256084414609 52.4736613308485, 16.92539703236 52.478154845348, 16.918037723086 52.4780255159814))"
X389Y556,4051,"POLYGON((16.9602357742186 52.3618327544695, 16.9675759578361 52.3619592645209, 16.9673696565595 52.366452982523, 16.9600287291338 52.3663264520803, 16.9602357742186 52.3618327544695))"
X380Y537,3110,"POLYGON((16.8974597688359 52.446180683404, 16.8972457045663 52.4506741383102, 16.8898911088093 52.4505431057282, 16.8900414828998 52.447397702512, 16.8901059204383 52.4460496719541, 16.8974597688359 52.446180683404))"
X390Y549,10059,"POLYGON((16.9661307069331 52.3934152063034, 16.9734761557793 52.3935414029936, 16.9732702188667 52.3980351132644, 16.9659240248228 52.3979088962276, 16.9660687080194 52.3947633137018, 16.9661307069331 52.3934152063034))"
X386Y544,17538,"POLYGON((16.9428403559936 52.4199955894512, 16.935490652505 52.4198674441587, 16.935700591735 52.415373856496, 16.9430495491221 52.4155019811272, 16.9430286322911 52.4159513421407, 16.9428403559936 52.4199955894512))"
X393Y559,62862,"POLYGON((16.9900048121464 52.3533484911427, 16.9902087207149 52.3488547004114, 16.9975468899944 52.3489793274576, 16.9973437247236 52.3534731382745, 16.9900048121464 52.3533484911427))"
X387Y524,913,"POLYGON((16.9386869471985 52.5089682055238, 16.9388551828681 52.5053733829394, 16.9462191552097 52.505501463589, 16.9460096051294 52.5099950120883, 16.9386448827264 52.5098669107674, 16.9386869471985 52.5089682055238))"
X372Y553,1998,"POLYGON((16.8420338303706 52.3754733755732, 16.8419242649341 52.3777200496288, 16.834582059737 52.3775857077783, 16.83480192024 52.3730923802969, 16.8421433813768 52.3732267004969, 16.8420338303706 52.3754733755732))"
X383Y550,22927,"POLYGON((16.9149259430437 52.3880255072166, 16.9222702616736 52.3881548761888, 16.9220591644186 52.3926484465276, 16.9147141009222 52.392519056699, 16.9148835790852 52.3889242174363, 16.9149259430437 52.3880255072166))"
X396Y546,9465,"POLYGON((17.0095974182296 52.4076469641295, 17.0169454262536 52.4077704832717, 17.0167438015429 52.4122643021311, 17.0093950476194 52.412140763071, 17.0095974182296 52.4076469641295))"
X373Y555,2048,"POLYGON((16.8497032150713 52.3688671901521, 16.8423624401082 52.3687333472818, 16.8425814411483 52.3642399899836, 16.849921472422 52.3643738112854, 16.8498560012527 52.3657218253737, 16.8497032150713 52.3688671901521))"
X383Y544,34341,"POLYGON((16.913441874999 52.4194802687394, 16.913654052417 52.4149867435013, 16.9210028431862 52.4151162376751, 16.9207914118114 52.4196097837949, 16.9156467301768 52.4195191711964, 16.913441874999 52.4194802687394))"
X393Y549,6981,"POLYGON((16.9955128271306 52.3939172558704, 16.9953091259251 52.3984110267404, 16.9879627696139 52.3982861785285, 16.9881672160741 52.3937924277848, 16.9933091381685 52.3938798553472, 16.9955128271306 52.3939172558704))"
X399Y554,969,"POLYGON((17.0332407668208 52.3720651412731, 17.0405829731119 52.3721871335753, 17.0403840061525 52.3766810435145, 17.0367125242477 52.3766200945261, 17.0330410554745 52.3765590315465, 17.0332407668208 52.3720651412731))"
X371Y536,689,"POLYGON((16.8308355517096 52.4539716494795, 16.8242162057426 52.4538500191616, 16.8234807257773 52.4538364818286, 16.8237023211878 52.4493432456481, 16.8310563997455 52.4494783915004, 16.8308355517096 52.4539716494795))"
X388Y557,732,"POLYGON((16.9604427647793 52.3573390528436, 16.9602357742186 52.3618327544695, 16.9528956451252 52.3617057887533, 16.9531033792795 52.3572121075878, 16.9604427647793 52.3573390528436))"
X391Y566,289,"POLYGON((16.9767842832392 52.3211921160651, 16.9769687960857 52.3171477153385, 16.9843016604444 52.3172731118168, 16.984097385367 52.3217669104053, 16.976763779114 52.3216414937233, 16.9767842832392 52.3211921160651))"
X370Y532,4078,"POLYGON((16.8154585779351 52.4671804754512, 16.8228155886393 52.467316165808, 16.8225937592224 52.4718093856135, 16.8152360003769 52.4716736733667, 16.8154363228224 52.4676297954272, 16.8154585779351 52.4671804754512))"
X398Y547,3690,"POLYGON((17.0244943132665 52.4033997032708, 17.0318416816457 52.4035222897182, 17.0318016698446 52.4044210625262, 17.0316416015433 52.4080161521682, 17.0242934874236 52.4078935459538, 17.0244943132665 52.4033997032708))"
X381Y536,7145,"POLYGON((16.9045150142912 52.4526021030747, 16.90438698363 52.4552981857406, 16.897031583814 52.4551675891664, 16.8972457045663 52.4506741383102, 16.9046003568062 52.4508047138216, 16.9045150142912 52.4526021030747))"
X385Y552,23982,"POLYGON((16.9298669856084 52.382891474427, 16.9300351744116 52.3792965947559, 16.9373781148587 52.3794250101823, 16.9371686178291 52.3839186300693, 16.9298249328681 52.3837901939416, 16.9298669856084 52.382891474427))"
X396Y562,15578,"POLYGON((17.0199634298305 52.3403627224514, 17.0126265867877 52.3402395015972, 17.0128281061644 52.33574563887, 17.0201642064394 52.3358688398705, 17.0199634298305 52.3403627224514))"
X388Y566,1475,"POLYGON((16.9623032293941 52.3168955575465, 16.9620967286909 52.3213892953044, 16.9547632849105 52.321262513583, 16.954970527451 52.3167687962483, 16.9623032293941 52.3168955575465))"
X393Y555,59744,"POLYGON((16.989188640641 52.3713236140822, 16.9893927641398 52.3668298393452, 16.9967339077824 52.3669545467585, 16.9965305283632 52.3714483415973, 16.989188640641 52.3713236140822))"
X371Y546,1266,"POLYGON((16.833041413115 52.4090388856893, 16.8256940520846 52.4089039358269, 16.8258487664832 52.4057586422786, 16.8259150639159 52.4044106587155, 16.8332616795356 52.4045455868232, 16.833041413115 52.4090388856893))"
X380Y551,21174,"POLYGON((16.9002374734222 52.387765401107, 16.8943621484364 52.3876608478928, 16.8928933228223 52.3876346639855, 16.893107343024 52.3831411734595, 16.9004507490121 52.3832718895086, 16.9002374734222 52.387765401107))"
X376Y556,11,"POLYGON((16.8719419103144 52.3647725414479, 16.8646017072005 52.3646400870257, 16.8646233810517 52.3641907446235, 16.8648184200271 52.3601466611721, 16.8721578795868 52.36027909425, 16.8719419103144 52.3647725414479))"
X374Y550,11272,"POLYGON((16.8559556194205 52.3914675180224, 16.849345518285 52.3913473932975, 16.8486110654796 52.3913340233027, 16.8488296105103 52.3868406648306, 16.8561734197634 52.3869741380333, 16.8559556194205 52.3914675180224))"
X382Y542,19675,"POLYGON((16.9056663787924 52.4283372935419, 16.905879414549 52.4238437973496, 16.9132296416297 52.4239737899364, 16.9130173522892 52.4284673070925, 16.9086067614596 52.4283893537679, 16.9056663787924 52.4283372935419))"
X398Y539,513,"POLYGON((17.0226849729286 52.4438441441704, 17.0228862228901 52.4393503333206, 17.0302395626923 52.4394730780165, 17.0300591126884 52.4435175257794, 17.0300390600433 52.4439669086655, 17.0226849729286 52.4438441441704))"
X382Y553,4605,"POLYGON((16.9080066861545 52.3789086129475, 16.9082191051519 52.3744150722611, 16.9155611346015 52.374544834527, 16.915518804115 52.375443547171, 16.9153494598638 52.3790383961306, 16.9080066861545 52.3789086129475))"
X374Y556,63891,"POLYGON((16.8574790175322 52.3600137725327, 16.8572615611712 52.3645071769689, 16.849921472422 52.3643738112854, 16.8501396722972 52.3598804283401, 16.8574790175322 52.3600137725327))"
X388Y538,1956,"POLYGON((16.9562925721562 52.4472123224386, 16.9489382775639 52.4470849671882, 16.9490009164816 52.4457368861731, 16.9491470546793 52.4425913623975, 16.956500601952 52.4427186971086, 16.9562925721562 52.4472123224386))"
X401Y552,849,"POLYGON((17.0475287344724 52.3812965250786, 17.0548725344306 52.3814176446249, 17.0546749522089 52.3859115857498, 17.0487993122147 52.3858147109814, 17.0473304074353 52.3857904466767, 17.0475287344724 52.3812965250786))"
X393Y567,4,"POLYGON((16.9991702880873 52.3130286971295, 16.998987826402 52.3170731558025, 16.9989675502138 52.3175225398998, 16.9916345785521 52.3173980533398, 16.9918380581625 52.3129042306227, 16.9991702880873 52.3130286971295))"
X373Y547,16,"POLYGON((16.8408278163411 52.4001867340378, 16.8481738026082 52.4003207280095, 16.847955084727 52.4048140742439, 16.8406083532047 52.4046800586688, 16.8406741982193 52.4033320617083, 16.8408278163411 52.4001867340378))"
X370Y549,656,"POLYGON((16.8263569128629 52.395424092215, 16.8190118456809 52.3952887514961, 16.8191891159191 52.3916941377646, 16.8192334276399 52.390795483922, 16.8265777500196 52.3909308028261, 16.8263569128629 52.395424092215))"
X375Y534,18,"POLYGON((16.8526817148897 52.4588677288326, 16.86003752039 52.4590010896597, 16.8598195470622 52.4634944259545, 16.8524629937123 52.4633610436143, 16.852550489109 52.4615637181907, 16.8526817148897 52.4588677288326))"
X401Y554,4,"POLYGON((17.0550700645974 52.3769236995373, 17.0477270092588 52.3768025995139, 17.0479252318127 52.3723086699824, 17.0537990763769 52.3724055708586, 17.0552675427277 52.3724297504869, 17.0550700645974 52.3769236995373))"
X399Y543,4,"POLYGON((17.030840753414 52.4259915622182, 17.0310410446413 52.4214977156683, 17.0369213646884 52.4215955192795, 17.0383914499693 52.4216199245123, 17.0381919052864 52.4261137907716, 17.030840753414 52.4259915622182))"
X370Y537,9,"POLYGON((16.823923858148 52.4448500053741, 16.8238352503766 52.4466473019749, 16.8237023211878 52.4493432456481, 16.8163483010802 52.449207642807, 16.8165705851977 52.4447144244009, 16.823923858148 52.4448500053741))"
X399Y544,9,"POLYGON((17.0383914499693 52.4216199245123, 17.0310410446413 52.4214977156683, 17.0312412830596 52.4170038651433, 17.0378559737716 52.4171138559161, 17.0385909420396 52.4171260542817, 17.0383914499693 52.4216199245123))"
X386Y564,1548,"POLYGON((16.9396789440407 52.3299949256119, 16.939804252267 52.3272987251661, 16.9398877800916 52.3255012573969, 16.9472218565765 52.3256289696796, 16.9470137627144 52.3301226584724, 16.9396789440407 52.3299949256119))"
X359Y533,885,"POLYGON((16.7345353796546 52.4656577032358, 16.7347661244944 52.4611647468218, 16.7421217306308 52.4613054440426, 16.7418917335045 52.4657984231519, 16.7374779138981 52.4657140460645, 16.7345353796546 52.4656577032358))"
X401Y556,1592,"POLYGON((17.0483215202966 52.3633207990197, 17.0556623429513 52.3634418404982, 17.0554649688395 52.3679357974739, 17.0481234021526 52.3678147364844, 17.0483215202966 52.3633207990197))"
X390Y535,38,"POLYGON((16.9705880921077 52.4564529821011, 16.9703813934655 52.4609466362646, 16.9630247460369 52.4608201339422, 16.9632321926279 52.4563265001831, 16.9705880921077 52.4564529821011))"
X397Y562,13,"POLYGON((17.027500359563 52.3359915855848, 17.0273003257403 52.3404854879462, 17.0199634298305 52.3403627224514, 17.0201642064394 52.3358688398705, 17.027500359563 52.3359915855848))"
