ID,Powiaty,area_ha,area_km,pop_total,pop_per_km2,rank_area,rank_pop
2805,   ełcki,111293,1113,88621,80,105,96
2806,   giżycki,111952,1120,54016,48,102,215
2818,   gołdapski,77233,772,25147,33,193,310
2807,   iławski,138518,1385,90218,65,52,94
2808,   kętrzyński,121300,1213,57792,48,84,199
2809,   lidzbarski,92499,925,38539,42,150,280
2810,   mrągowski,106467,1065,47861,45,109,242
2811,   nidzicki,96065,961,30666,32,139,306
2812,   nowomiejski,69373,694,42209,61,223,264
2813,   olecki,87357,874,32222,37,162,303
2814,   olsztyński,283807,2838,129555,46,2,41
2815,   ostródzki,176658,1767,99744,56,17,79
2816,   piski,177532,1775,52537,30,16,225
2817,   szczycieński,193324,1933,66859,35,9,168
2819,   węgorzewski,69320,693,21062,30,224,311
2861,   Elbląg,7982,80,113567,1423,39,31
2862,   Olsztyn,8832,88,168212,1905,29,20
3001,   chodzieski,68507,685,45476,66,226,250
3002,   czarnkowsko-trzcianecki,180777,1808,84020,46,14,109
3003,   gnieźnieński,125495,1255,141748,113,74,31
3004,   gostyński,81029,810,73899,91,178,146
3005,   grodziski,64390,644,51626,80,240,229
3006,   jarociński,58848,588,70037,119,260,156
3007,   kaliski,116006,1160,82503,71,93,115
3008,   kępiński,60833,608,56071,92,257,206
3009,   kolski,101069,1011,82104,81,125,117
3010,   koniński,157821,1578,128883,82,29,44
3011,   kościański,72240,722,77404,107,210,129
3012,   krotoszyński,71353,714,75317,106,212,136
3013,   leszczyński,80583,806,59531,74,180,193
3014,   międzychodzki,73644,736,35769,49,202,293
3015,   nowotomyski,101162,1012,75182,74,124,137
3016,   obornicki,71104,711,58988,83,215,195
3017,   ostrowski,116007,1160,158914,137,92,18
3018,   ostrzeszowski,77281,773,54638,71,190,212
3019,   pilski,126602,1266,131265,104,71,38
3020,   pleszewski,71321,713,61523,86,213,182
3021,   poznański,189992,1900,442680,233,10,1
3022,   rawicki,55345,553,58867,106,269,196
3023,   słupecki,83799,838,57554,69,170,201
3024,   szamotulski,111928,1119,91649,82,103,89
3025,   średzki,62271,623,59847,96,246,190
3026,   śremski,57411,574,61115,106,266,185
3027,   turecki,92978,930,81377,88,147,120
3028,   wągrowiecki,103967,1040,69039,66,117,160
3029,   wolsztyński,67964,680,56743,83,227,204
3030,   wrzesiński,70347,704,78176,111,219,125
3031,   złotowski,166056,1661,67589,41,22,166
3061,   Kalisz,6938,69,93973,1354,43,38
3062,   Konin,8230,82,68112,828,36,49
3063,   Leszno,3186,32,60642,1903,61,53
3064,   Poznań,26191,262,541316,2067,9,5
3201,   białogardzki,84546,845,44771,53,168,252
3202,   choszczeński,132763,1328,44818,34,60,251
3203,   drawski,176424,1764,53960,31,19,216
3204,   goleniowski,161547,1615,81486,50,27,119
3205,   gryficki,102110,1021,56961,56,122,203
3206,   gryfiński,186909,1869,77567,41,13,128
3207,   kamieński,100752,1008,44449,44,126,254
3208,   kołobrzeski,72758,728,77087,106,208,131
3209,   koszaliński,164622,1646,64467,39,24,170
3218,   łobeski,106510,1065,33762,32,108,298
3210,   myśliborski,118234,1182,62668,53,87,176
3211,   policki,66446,664,84924,128,235,105
3212,   pyrzycki,72605,726,36785,51,209,288
3213,   sławieński,104317,1043,53384,51,113,220
3214,   stargardzki,151995,1520,119190,78,35,51
3215,   szczecinecki,176551,1766,73308,42,18,149
3216,   świdwiński,109313,1093,43577,40,106,256
3217,   wałecki,141512,1415,50388,36,44,234
3261,   Koszalin,10557,106,106136,1005,26,33
3262,   Szczecin,30062,301,391566,1303,5,7
3263,   Świnoujście,20207,202,39368,195,10,65
,,,,,,,
