Message_ID,Text,Country,City,Province,County,Communes,Latitude,Longitude
156168,Poland,null,null,null,null,null,null,If you need psychological support in Poland put a '+' in the comments and we will share the information.
156170,Poland,Warsaw,null,null,null,52.2297,21.0122,I found a placd to eat in Warsaw Poland.
